name, link, rating, votes, year, releaseDate, genres, runtime, plot, image, imageCaption, metascore, certificate, status, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult
"Big Mistakes", "https://www.imdb.com/title/tt36957934/", "7.2", "11133", "2026", "9/4/2026", "Comedy, Crime, Drama", "1800", "Two directionless siblings are blackmailed into the world of organized crime.", "https://m.media-amazon.com/images/M/MV5BOTIwZmVhYWItMjAzZS00OGUzLThiYzItZmE3NTMxMjNjYjE1XkEyXkFqcGc@._V1_.jpg", "Dan Levy and Taylor Ortega in Big Mistakes (2026)", "", "TV-MA", "Released", "gay, gay protagonist, bare chested male, male nudity, straight", "US", "161", "DOWN 49", "", "", "Dan Levy, Taylor Ortega, Abby Quinn", "Dan Levy, Taylor Ortega, Abby Quinn, Boran Kuzum", "", "", "", "", "Jersey City, New Jersey, USA", "English", "Dolby Digital", "2.00 : 1", "Color", "1", "3", "TV Series", "True", "False", "False"
"Mating Season", "https://www.imdb.com/title/tt14690136/", "6.5", "1436", "2026", "22/5/2026", "Animation, Comedy, Romance", "1620", "Brings out the animal within to unleash our natural instincts in the pursuit of true love.", "https://m.media-amazon.com/images/M/MV5BMWFiMzI1YTEtOGYzMC00N2E4LTkyYmUtYmUyNmU5ZmNjMWUzXkEyXkFqcGc@._V1_.jpg", "Nick Kroll, Zach Woods, June Diane Raphael, and Sabrina Jalees in Mating Season (2026)", "", "TV-MA", "Released", "2d animation, love, animal, for grown ups animation, wild", "US", "190", "DOWN 123", "", "", "Zach Woods, Nick Kroll, June Diane Raphael", "Zach Woods, Nick Kroll, June Diane Raphael, Sabrina Jalees", "", "", "", "", "", "English", "Dolby Digital", "16:9 HD", "Color", "0", "0", "TV Series", "True", "False", "False"
"Young Sherlock", "https://www.imdb.com/title/tt8599532/", "7.5", "30326", "2026", "4/3/2026", "Action, Adventure, Drama", "3000", "A disgraced, young Sherlock Holmes finds himself wrapped up in a murder case that threatens his liberty. His first ever case unravels a globe-trotting conspiracy, culminating in an explosive showdown that changes his life forever.", "https://m.media-amazon.com/images/M/MV5BMGY1NGJkOTAtM2RmNC00NWI3LWJkY2EtYjU1YmY5OGFjN2RjXkEyXkFqcGc@._V1_.jpg", "Colin Firth, Joseph Fiennes, Natascha McElhone, Dónal Finn, Zine Tseng, Max Irons, and Hero Fiennes Tiffin in Young Sherlock (2026)", "", "TV-14", "Released", "sherlock holmes character, character name in series title, spy thriller, spy, spy action", "GB", "194", "DOWN 46", "", "", "Hero Fiennes Tiffin, Dónal Finn, Natascha McElhone", "Hero Fiennes Tiffin, Dónal Finn, Natascha McElhone, Zine Tseng", "", "", "", "", "Cardiff, Wales, UK", "English", "Dolby Digital", "2.39 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Detective Hole", "https://www.imdb.com/title/tt31810018/", "7.6", "22666", "2026", "26/3/2026", "Crime, Drama, Mystery", "3000", "A brilliant but troubled detective, Harry Hole, hunts a serial killer while battling a corrupt adversary, Tom Waaler, as they navigate ethical gray areas, with Harry determined to bring the criminal to justice.", "https://m.media-amazon.com/images/M/MV5BYjRiYzU2MjAtMGY2Yi00YzVkLTkzZGMtMGE1OGQ0MWQ3OWYwXkEyXkFqcGc@._V1_.jpg", "Joel Kinnaman and Tobias Santelmann in Detective Hole (2026)", "", "TV-MA", "Released", "criminal, female nudity, alcoholic, based on novel, character name in title", "NO", "200", "DOWN 42", "", "", "Tobias Santelmann, Joel Kinnaman, Ellen Helinder", "Tobias Santelmann, Joel Kinnaman, Ellen Helinder, Anders Baasmo", "", "", "", "", "Oslo, Norway", "Norwegian", "Dolby Digital", "2.20 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Harry Potter", "https://www.imdb.com/title/tt13918446/", "0", "0", "2026", "25/12/2026", "Adventure, Drama, Family", "", "An orphan boy, mistreated by his relatives, discovers he's a wizard. He receives a letter to attend Hogwarts School, where he finds friendship, magic, and adventure — finally discovering the home and love he was always meant to have.", "https://m.media-amazon.com/images/M/MV5BMjAxY2M0NzAtZDZmZS00OTMxLWExODEtZTBlYmZkZjNiNzQzXkEyXkFqcGc@._V1_.jpg", "Harry Potter (2026)", "", "", "Post-production", "wizard, magical, academy, magic, wand", "US", "204", "UP 13", "", "", "Arabella Stanton, Dominic McLaughlin, Alastair Stout", "Arabella Stanton, Dominic McLaughlin, Alastair Stout, Katherine Parkinson", "", "", "", "", "London Zoo, Regent's Park, London, England, UK", "English", "Dolby Atmos", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Scarpetta", "https://www.imdb.com/title/tt14786934/", "6", "18060", "2026", "11/3/2026", "Crime, Drama, Mystery", "3000", "A brilliant forensic pathologist uses forensic technology to solve crimes.", "https://m.media-amazon.com/images/M/MV5BMGJiZTM2ZmItMGRiZC00NzgwLTk3M2QtNDI1ZmYxOTJkOGI3XkEyXkFqcGc@._V1_.jpg", "Jamie Lee Curtis, Nicole Kidman, Simon Baker, Bobby Cannavale, and Ariana DeBose in Scarpetta (2026)", "", "TV-MA", "Released", "nude female victims, nude female breasts, female buttocks nudity, nude female body shots, female full frontal nudity", "US", "210", "DOWN 49", "", "", "Nicole Kidman, Jamie Lee Curtis, Bobby Cannavale", "Nicole Kidman, Jamie Lee Curtis, Bobby Cannavale, Simon Baker", "", "", "", "", "Nashville, Tennessee, USA", "English", "Dolby Atmos", "1.78 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Alice and Steve", "https://www.imdb.com/title/tt35728748/", "6.8", "905", "2026", "8/6/2026", "Comedy, Drama, Romance", "", "A two and-a-half decades long friendship between Alice and Steve becomes strained when Steve starts dating Alice's daughter.", "https://m.media-amazon.com/images/M/MV5BYTgwODM2ZmMtYWQ1YS00NDQ2LWJlNWYtY2U3OWM0N2VjNzhiXkEyXkFqcGc@._V1_.jpg", "Nicola Walker and Jemaine Clement in Alice and Steve (2026)", "", "TV-MA", "Released", "", "GB", "221", "UP 665", "", "", "Eilidh Fisher, Ken Blackburn, Marcia Warren", "Eilidh Fisher, Ken Blackburn, Marcia Warren, Bobbi Hale", "", "", "", "", "", "English", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Rafa", "https://www.imdb.com/title/tt35052852/", "8.7", "2419", "2026", "29/5/2026", "Documentary, Sport", "3600", "Delves into Rafael Nadal's illustrious tennis career, offering a behind-the-scenes look at his personal life, unseen archives, and his journey to return to competitive play in 2024 after overcoming injuries in 2023.", "https://m.media-amazon.com/images/M/MV5BNDU4OWI2NzUtNmQyOS00YjdkLTljMGEtZWQ2ZTE0YzRjMTYwXkEyXkFqcGc@._V1_.jpg", "Rafael Nadal in Rafa (2026)", "", "TV-MA", "Released", "", "US", "230", "DOWN 52", "", "", "Rafael Nadal, Mar Clapes, Roger Federer", "Rafael Nadal, Mar Clapes, Roger Federer, John McEnroe", "", "", "", "", "", "", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Witch Hat Atelier", "https://www.imdb.com/title/tt32550889/", "8.7", "4187", "2026", "6/4/2026", "Animation, Adventure, Drama", "", "The series follows a girl named Coco, who dreams of being a witch, but in her world only those born with magical abilities are able to become witches. However, after meeting a witch named Qifrey, Coco's dream begins to come true.", "https://m.media-amazon.com/images/M/MV5BZjQ2NGVmNzEtODg3Mi00MmViLTkzNGYtNWExNGEzNmNkOGYwXkEyXkFqcGc@._V1_.jpg", "Witch Hat Atelier (2026)", "", "TV-PG", "Released", "magic, female protagonist, coming of age, apprenticeship, magic spells", "JP", "244", "DOWN 17", "", "", "Rena Motomura, Hibiku Yamamura, Kurumi Haruki", "Rena Motomura, Hibiku Yamamura, Kurumi Haruki, Natsuki Hanae", "", "", "", "", "", "Japanese", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Unchosen", "https://www.imdb.com/title/tt31631142/", "6.2", "6663", "2026", "21/4/2026", "Drama, Thriller", "2700", "Rosie is a devoted wife and mother in a conservative Christian cult, and her meeting with escaped convict Sam triggers her dangerous journey toward freedom and sexual discovery.", "https://m.media-amazon.com/images/M/MV5BZTgyMjNhNjYtYjEwYy00NmFjLTg2MTQtZDNkYjZhYzMwODA0XkEyXkFqcGc@._V1_.jpg", "Asa Butterfield, Molly Windsor, and Fra Fee in Unchosen (2026)", "", "TV-MA", "Released", "cheating wife, female nudity, sociopath, psychological thriller", "GB", "254", "DOWN 109", "", "", "Molly Windsor, Asa Butterfield, Fra Fee", "Molly Windsor, Asa Butterfield, Fra Fee, Aston McAuley", "", "", "", "", "Surrey, England, UK", "English", "Dolby Digital", "2.39 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"The Pyramid Scheme", "https://www.imdb.com/title/tt38589437/", "6.8", "459", "2026", "5/6/2026", "Comedy, Drama", "2400", "Goldy, an ambitious but impatient young man, whose quest to get rich through a pyramid marketing business spirals into a rollercoaster of chaos - risking not just his future, but also the love and trust of his close-knit joint family.", "https://m.media-amazon.com/images/M/MV5BOTAyM2FmNDctZGZmMC00YmZmLWFhY2MtZGNiZmVmNDU1MWJhXkEyXkFqcGc@._V1_.jpg", "Akhilendra Mishra, Anjan Srivastav, Shekhar Suman, Ranvir Shorey, Paramvir Cheema, Alfia Jafry, and Ashish Raghav in The Pyramid Scheme (2026)", "", "", "Released", "", "IN", "260", "UP 2421", "", "", "Paramvir Cheema, Ranvir Shorey, Alfia Jafry", "Paramvir Cheema, Ranvir Shorey, Alfia Jafry, Anjan Srivastav", "", "", "", "", "", "Hindi", "Dolby Atmos", "16 : 9", "Color", "0", "0", "TV Series", "True", "False", "False"
"56 Days", "https://www.imdb.com/title/tt30412869/", "6.7", "10816", "2026", "18/2/2026", "Crime, Drama, Mystery", "3000", "After a chance supermarket encounter, Oliver and Ciara embark on an intense relationship. When a savagely murdered corpse surfaces 56 days later, the investigation delves into their turbulent love story, revealing grim secrets.", "https://m.media-amazon.com/images/M/MV5BMzA2YmY1YjItMTIzZi00NDM0LWFiN2EtZDc5NzIyNTIxNzM5XkEyXkFqcGc@._V1_.jpg", "Avan Jogia and Dove Cameron in 56 Days (2026)", "", "TV-MA", "Released", "female topless nudity, erotic thriller, female nudity, suspense mystery, murder mystery", "US", "261", "DOWN 14", "", "", "Avan Jogia, Dove Cameron, Karla Souza", "Avan Jogia, Dove Cameron, Karla Souza, Dorian Missick", "", "", "", "", "Montréal, Québec, Canada", "English", "Dolby Atmos", "2.39:1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Imperfect Women", "https://www.imdb.com/title/tt31937954/", "6.4", "6589", "2026", "18/3/2026", "Drama, Mystery, Thriller", "", "Follows an investigation that dives deep into the murder of a wealthy woman and all the dark secrets uncovered about her life.", "https://m.media-amazon.com/images/M/MV5BMWNkODVhZjktOWZmMS00NjM4LWI5NTItYzZjNWNlY2M3YjY3XkEyXkFqcGc@._V1_.jpg", "Elisabeth Moss, Kate Mara, and Kerry Washington in Imperfect Women (2026)", "", "TV-MA", "Released", "sex with wife's bestfriend, male rear nudity, female protagonist, female boss male employee sex, wife lets husband have sex with another woman", "US", "267", "DOWN 59", "", "", "Elisabeth Moss, Kerry Washington, Joel Kinnaman", "Elisabeth Moss, Kerry Washington, Joel Kinnaman, Corey Stoll", "", "", "", "", "All Saints Episcopal Church, 132 N. Euclid Avenue, Pasadena, California, USA", "English", "Dolby Atmos", "2.00 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"It's Not Like That", "https://www.imdb.com/title/tt34691775/", "6.9", "841", "2026", "25/1/2026", "Comedy, Drama, Family", "3000", "Freshly divorced Lori and recently widowed minister Malcolm, friends with teens, navigate singlehood while questioning if their longstanding bond hints at a romantic future.", "https://m.media-amazon.com/images/M/MV5BZjA2YmU3ODAtNzQyYS00MGUwLWE0NmQtMzdiZDI2Mzc1OWFmXkEyXkFqcGc@._V1_.jpg", "Scott Foley, Erinn Hayes, Leven Miranda, Cassidy Paul, Liv Lindell, J.R. Ramirez, Caleb Baumann, and Cary Christopher in It's Not Like That (2026)", "", "", "Released", "", "US", "275", "DOWN 71", "", "", "Scott Foley, Erinn Hayes, J.R. Ramirez", "Scott Foley, Erinn Hayes, J.R. Ramirez, Caleb Baumann", "", "", "", "", "Atlanta, Georgia, USA", "English", "Dolby Digital", "2.20 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Scrubs", "https://www.imdb.com/title/tt40197357/", "8.3", "10430", "2026", "25/2/2026", "Comedy, Drama", "", "JD and Turk scrub in together after a long break. Medicine and interns have evolved, but their friendship remains strong. New and familiar faces at Sacred Heart bring laughs, emotion, and unexpected moments.", "https://m.media-amazon.com/images/M/MV5BZDUwODJiYjktZjE0Yy00ZjViLWJiZWEtNThlNjI5MDg5MWY3XkEyXkFqcGc@._V1_.jpg", "Zach Braff, Sarah Chalke, and Donald Faison in Scrubs (2026)", "", "", "Released", "", "US", "281", "DOWN 56", "", "", "Zach Braff, Sarah Chalke, Donald Faison", "Zach Braff, Sarah Chalke, Donald Faison, Ava Bunn", "", "", "", "", "Vancouver, British Columbia, Canada", "English", "Stereo", "16:9 HD", "Color", "0", "0", "TV Series", "True", "False", "False"
"Smoking Behind the Supermarket with You", "https://www.imdb.com/title/tt37614297/", "8.7", "418", "2026", "None/7/2026", "Animation, Comedy, Romance", "", "Two souls, salaryman Sasaki and biker Tayama, meet and connect in a secret place behind a supermarket for a quiet smoke.", "https://m.media-amazon.com/images/M/MV5BOWE1NzcwZWItNmM3Yi00OGU1LTk2ZDctMjBlYTY0OGY5MDUyXkEyXkFqcGc@._V1_.jpg", "Smoking Behind the Supermarket with You (2026)", "", "", "Released", "hand drawn animation, anime animation", "JP", "283", "UP 6630", "", "", "Takuya Satô, Seena Hoshiki", "Takuya Satô, Seena Hoshiki", "", "", "", "", "", "Japanese", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Trion", "https://www.imdb.com/title/tt38683169/", "7.3", "114", "2026", "1/6/2026", "Drama, Romance", "1800", "Middle-aged Hugo encounters his childhood loves' daughter, sending him back to when his younger self begins college.", "https://m.media-amazon.com/images/M/MV5BM2RkYTE2YzEtZDYwMi00NWY2LTllNjAtNjk3NTc4YTllM2RhXkEyXkFqcGc@._V1_.jpg", "Trion (2026)", "", "", "Released", "limp penis, man skinny dipping, male full frontal nudity, 20 years ago, bisexual man", "SE", "293", "UP 2118", "", "", "August Wittgenstein, Felix Sandman, Eva Röse", "August Wittgenstein, Felix Sandman, Eva Röse, Nina Zanjani", "", "", "", "", "Stockholm, Sweden", "Swedish", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"CIA", "https://www.imdb.com/title/tt35515227/", "6.3", "3317", "2026", "23/2/2026", "Action, Adventure, Crime", "", "Follows a partnership between a C.I.A Case Officer and an F.B.I. Special Agent who work together on a clandestine task force to prevent domestic terrorism in New York.", "https://m.media-amazon.com/images/M/MV5BNzZjNjRmODktMDZjOC00MzcwLWI4N2ItYTI5OWY1YTI2ZGZlXkEyXkFqcGc@._V1_.jpg", "Tom Ellis and Nick Gehlfuss in CIA (2026)", "", "TV-14", "Released", "entire title is capitalized acronym, acronym in title, spy action, police procedural crime, spy thriller", "US", "300", "DOWN 86", "", "", "Tom Ellis, Nick Gehlfuss, Natalee Linez", "Tom Ellis, Nick Gehlfuss, Natalee Linez, Necar Zadegan", "", "", "", "", "New York City, New York, USA", "English", "Stereo", "1.78 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
